SnowID,SMAXId,Status,Time(in millisec),UseCase
2-10-1 Yurakucho, Chiyoda-ku, Tokyo,17475,Success,1210
Colombia,17476,Success,1246
Five Points 2009 Fairview RD, Raleigh, NC,17919,Success,1185
2617 South Robinson Avenue, Oklahoma City,OK,17482,Success,1408
