SnowID,SMAXId,Status,Time(in millisec),UseCase
Application Development,null,Success,1161
Problem Analyzers,null,Success,1044
Nimsoft desk,null,Success,1040
Incident Management,null,Success,1027
US Presidents Group 2,null,Success,1059
